sale_id,product_id,store_id,sale_date,quantity,unit_price,discount_pct,revenue,cost,profit,month,quarter,year,season
S00001,P0032,ST002,2022-04-06,2,57.55,30.0,115.1,57.92,57.18,April,Q2,2022,Spring
S00002,P0011,ST003,2021-10-05,11,142.0,0.0,1562.0,395.12,1166.88,October,Q4,2021,Autumn
S00003,P0003,ST003,2021-12-14,9,12.36,15.0,111.24,56.43,54.81,December,Q4,2021,Winter
S00004,P0006,ST007,2021-11-17,9,77.6,10.0,698.4,296.37,402.03,November,Q4,2021,Autumn
S00005,P0002,ST004,2022-01-07,7,82.66,30.0,578.62,224.49,354.13,January,Q1,2022,Winter
S00006,P0024,ST006,2022-03-13,9,100.34,0.0,903.06,330.12,572.94,March,Q1,2022,Spring
S00007,P0022,ST004,2021-11-24,2,54.97,0.0,109.94,27.54,82.4,November,Q4,2021,Autumn
S00008,P0030,ST004,2022-05-29,4,110.97,0.0,443.88,154.68,289.2,May,Q2,2022,Spring
S00009,P0024,ST001,2021-11-26,2,80.27,20.0,160.54,73.36,87.18,November,Q4,2021,Autumn
S00010,P0019,ST006,2021-09-06,9,38.58,0.0,347.22,121.59,225.63,September,Q3,2021,Autumn
S00011,P0028,ST008,2021-11-18,9,89.3,0.0,803.7,208.35,595.35,November,Q4,2021,Autumn
S00012,P0030,ST008,2021-12-03,8,94.32,15.0,754.56,309.36,445.2,December,Q4,2021,Winter
S00013,P0005,ST004,2021-09-18,2,37.45,10.0,74.9,27.64,47.26,September,Q3,2021,Autumn
S00014,P0023,ST006,2022-03-05,7,126.83,0.0,887.81,246.61,641.2,March,Q1,2022,Spring
S00015,P0010,ST001,2022-07-11,11,63.62,30.0,699.82,308.99,390.83,July,Q3,2022,Summer
S00016,P0028,ST002,2021-09-01,7,80.37,10.0,562.59,162.05,400.54,September,Q3,2021,Autumn
S00017,P0006,ST002,2021-12-06,4,86.22,0.0,344.88,131.72,213.16,December,Q4,2021,Winter
S00018,P0027,ST008,2021-10-11,7,93.57,0.0,654.99,250.18,404.81,October,Q4,2021,Autumn
S00019,P0002,ST008,2021-12-06,2,118.09,0.0,236.18,64.14,172.04,December,Q4,2021,Winter
S00020,P0025,ST002,2021-08-26,11,56.64,30.0,623.04,317.24,305.8,August,Q3,2021,Summer
S00021,P0021,ST001,2021-09-17,4,95.74,0.0,382.96,139.52,243.44,September,Q3,2021,Autumn
S00022,P0021,ST008,2022-04-04,4,81.38,15.0,325.52,139.52,186.0,April,Q2,2022,Spring
S00023,P0033,ST001,2021-10-24,7,36.28,0.0,253.96,102.06,151.9,October,Q4,2021,Autumn
S00024,P0004,ST007,2021-12-14,8,89.47,0.0,715.76,219.6,496.16,December,Q4,2021,Winter
S00025,P0010,ST008,2021-10-19,4,90.88,0.0,363.52,112.36,251.16,October,Q4,2021,Autumn
